model,working_resale,as_is_resale
TI-84 Plus CE,72,35
TI-84 Plus,42,18
TI-84 Plus Silver Edition,45,20
TI-83 Plus,28,12
TI-Nspire CX II,92,40
TI-Nspire CX II CAS,112,50
TI-Nspire CX,62,25
HP Prime G2,95,42
Casio fx-CG50,72,30
