model,working_resale,as_is_resale
Sony WH-1000XM3,95,35
Sony WH-1000XM4,140,55
Sony WH-1000XM5,220,95
Bose QC35 II,92,35
Bose QC45,132,50
Bose 700,128,48
AirPods Max,330,150
Beats Studio3,72,28
