model,working_resale,as_is_resale
Nintendo Switch HAC-001,145,65
Nintendo Switch Lite,110,45
Nintendo Switch OLED,215,100
Nintendo 3DS XL,155,70
New Nintendo 3DS XL,220,105
Nintendo 2DS XL,170,80
PS Vita 2000,145,60
PS Vita 1000,120,50
PSP-3000,82,30
