model,working_resale,as_is_resale
Canon EF 50mm f/1.8 STM,80,30
Canon EF-S 18-55mm IS II,45,15
Canon EF-S 17-55mm f/2.8 IS USM,255,105
Canon EF 24-105mm f/4L IS USM,345,145
Sony FE 28-70mm f/3.5-5.6 OSS,150,60
Sony FE 50mm f/1.8,140,55
Sigma 30mm f/1.4 DC DN,210,85
Sigma 16mm f/1.4 DC DN,255,105
Tamron 28-75mm f/2.8 Di III RXD,465,190
